readingtime,readingvalue
2018-06-0211:50:00.000000+0000,0.729166667
2018-06-0211:55:00.000000+0000,0.804166667
2018-06-0212:00:00.000000+0000,0.7625
2018-06-0212:05:00.000000+0000,0.858333333
2018-06-0212:10:00.000000+0000,0.758333333
2018-06-0212:15:00.000000+0000,0.75
2018-06-0212:20:00.000000+0000,0.795833333
2018-06-0212:25:00.000000+0000,0.766666667
2018-06-0212:30:00.000000+0000,0.775
2018-06-0212:35:00.000000+0000,0.795833333
2018-06-0212:40:00.000000+0000,0.841666667
2018-06-0212:45:00.000000+0000,0.749818237
2018-06-0212:50:00.000000+0000,0.741666667
2018-06-0212:55:00.000000+0000,0.763934426
2018-06-0213:00:00.000000+0000,0.848799435
2018-06-0213:05:00.000000+0000,0.9
2018-06-0213:10:00.000000+0000,0.825
2018-06-0213:15:00.000000+0000,0.85
2018-06-0213:20:00.000000+0000,0.7625
2018-06-0213:25:00.000000+0000,0.724249792
2018-06-0213:30:00.000000+0000,0.708333333
2018-06-0213:35:00.000000+0000,0.7625
2018-06-0213:40:00.000000+0000,0.828913124
2018-06-0213:45:00.000000+0000,0.7375
2018-06-0213:50:00.000000+0000,0.845833333
2018-06-0213:55:00.000000+0000,0.78510929
2018-06-0214:00:00.000000+0000,0.702683616
2018-06-0214:05:00.000000+0000,0.816666667
2018-06-0214:10:00.000000+0000,0.754166667
2018-06-0214:15:00.000000+0000,0.7
2018-06-0214:20:00.000000+0000,0.716666667
2018-06-0214:25:00.000000+0000,0.775
2018-06-0214:30:00.000000+0000,0.858070529
2018-06-0214:35:00.000000+0000,0.7375
2018-06-0214:40:00.000000+0000,0.808333333
2018-06-0214:45:00.000000+0000,0.9125
2018-06-0214:50:00.000000+0000,0.783333333
2018-06-0214:55:00.000000+0000,0.904166667
2018-06-0215:00:00.000000+0000,0.833333333
2018-06-0215:05:00.000000+0000,0.783333333
2018-06-0215:10:00.000000+0000,0.726844262
2018-06-0215:15:00.000000+0000,0.915819209
2018-06-0215:20:00.000000+0000,0.775
2018-06-0215:25:00.000000+0000,0.783333333
2018-06-0215:30:00.000000+0000,0.733333333
2018-06-0215:35:00.000000+0000,0.658333333
2018-06-0215:40:00.000000+0000,0.75
2018-06-0215:45:00.000000+0000,0.745833333
2018-06-0215:50:00.000000+0000,0.766666667
2018-06-0215:55:00.000000+0000,0.7125
2018-06-0216:00:00.000000+0000,0.716666667
2018-06-0216:05:00.000000+0000,0.7125
2018-06-0216:10:00.000000+0000,0.7125
2018-06-0216:15:00.000000+0000,0.833333333
2018-06-0216:20:00.000000+0000,0.745833333
2018-06-0216:25:00.000000+0000,0.7375
2018-06-0216:30:00.000000+0000,0.770833333
2018-06-0216:35:00.000000+0000,0.72064115
2018-06-0216:40:00.000000+0000,0.7625
2018-06-0216:45:00.000000+0000,0.6875
2018-06-0216:50:00.000000+0000,0.7125
2018-06-0216:55:00.000000+0000,0.775
2018-06-0217:00:00.000000+0000,0.779166667
2018-06-0217:05:00.000000+0000,0.841666667
2018-06-0217:10:00.000000+0000,0.704166667
2018-06-0217:15:00.000000+0000,0.6625
2018-06-0217:20:00.000000+0000,0.739275956
2018-06-0217:25:00.000000+0000,0.740112994
2018-06-0217:30:00.000000+0000,0.695833333
2018-06-0217:35:00.000000+0000,0.75
